PN,PNnoun,CorpName
65-52805-343,"UNIT, FLIGHT INSTRUMENT",BAE SYSTEMS
65-52806-101,"UNIT, SOLID STATE SWITCHING",BAE SYSTEMS
65-52806-357,"UNIT, SOLID STATE SWITCHING",BAE SYSTEMS
65-52806-381,"UNIT, SOLID-STATE SWITCHING",BAE SYSTEMS
65-52806-387,"UNIT, SOLID-STATE SWITCHING",BAE SYSTEMS
65-52806-457 MOD A,"UNIT, SOLID-STATE SWITCHING",BAE SYSTEMS
65-52807-71,"UNIT, FLAP/SLAT POSITION",BAE SYSTEMS
65-52807-73,"UNIT, FLAP/SLAT ASSY",BAE SYSTEMS
65-52808-3 MOD CD,"UNIT, COMPARTMENT OVERHEAT",BAE SYSTEMS
65-52808-3 MOD D,"UNIT, COMPARTMENT OVERHEAT",BAE SYSTEMS
65-52808-7 MOD BD,"UNIT, COMPARTMENT OVERHEAT",BAE SYSTEMS
65-52810-21,"UNIT, AIR COND ACCY",BAE SYSTEMS
65-52810-46,"UNIT, A/C ACCESSORY ASSY",BAE SYSTEMS
65-52810-57,"UNIT, A/C ACCESSORY ASSY",BAE SYSTEMS
285U0020-204,"PRINTED CIRCUIT, FUEL JETTISON CONTROL ASSY",BAE SYSTEMS
285U0035-211,"CARD, EQUIPMENT COOLING CONTROL",BAE SYSTEMS
285U0037-104,"MODULE, RADIO COMM PANEL",BAE SYSTEMS
285U0037-613,"MODULE, RADIO COMM PANEL",BAE SYSTEMS
285U0037-615,"MODULE, RADIO COMM PANEL",BAE SYSTEMS
285U0255-37,"INTERPHONE, CABIN ASSEMBLY",BAE SYSTEMS
285U0255-72,"INTERPHONE, CABIN ASSEMBLY",BAE SYSTEMS
285U0297-14,"CRADLE, CABIN INTERPHONE ASSY",BAE SYSTEMS
285U0297-43,"CRADLE, CABIN INTERPHONE ASSY",BAE SYSTEMS
285U0297-45,"CRADLE, CABIN INTERPHONE ASSY",BAE SYSTEMS
285U0297-65,"CRADLE, CABIN INTERPHONE ASSY",BAE SYSTEMS
285W0024-1B,"HANDSET, CABIN ATT",BAE SYSTEMS
285W0114-1,"PANEL, RADIO TUNNING",BAE SYSTEMS
287T6205-13,"HARNESS, WIRE ASSY",BAE SYSTEMS
